,Coefficient
AdultWeekday,20.104048238657704
clusters,2.6333774501644323
vertical_drop,1.9482260314289932
triple,1.3693340641711462
Runs,1.3195852894754847
surface,1.2010667788574683
daysOpenLastYear,1.170218517406432
quad,1.1412012059052357
averageSnowfall,0.8081732861895968
fastQuads,0.6698060706213245
projectedDaysOpen,0.5666091852101817
total_chairs,0.5572997547758353
Snow Making_ac,0.5479047837208652
NightSkiing_ac,0.401498166520158
fastSixes,0.37427709149279226
LongestRun_mi,0.3354810681392542
trams,0.28527851086192435
double,0.23810192704289818
yearsOpen,0.2026721117739003
TerrainParks,0.051197742745434385
fastEight,0.035214751387561735
SkiableTerrain_ac,0.0032801696979235014
